No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
3184,Film production,"Bernstein, Steven",4323kh,KH791.430232 B458f 1994,,"""Film Production"" by Steven Bernstein offers an in-depth exploration of the filmmaking process, covering the technical, creative, and managerial aspects of producing a film. The book provides insights into the roles of various crew members, the intricacies of pre-production, production, and post-production stages, and practical advice for aspiring filmmakers looking to navigate the complex world of film production successfully.","film production, budgeting, scheduling, logistics, management",Art & Media,Non-Fiction,9,9
3185,Film production management,"Cleve, Bastian",4324kh,KH791.430232068 C599s1994,,"""Film Production Management"" by Bastian Cleve is an informative guide that delves into the intricacies of managing a film production. It covers a wide range of topics essential for production managers, including budgeting, scheduling, staffing, and logistics. The book offers practical advice and insights for handling the complex tasks involved in bringing a film project from concept to completion, making it an invaluable resource for both newcomers and experienced professionals in the film industry.",,Art & Media,Non-Fiction,18,19
3186,Fire,"Rossotti, Hazel",1649kh,KH398.364 R677f 1993,,,"NCLEX-RN, nursing, adaptive testing, exam preparation, test-taking strategies",Non-Fiction,,7,9
3187,First aid for the NCLEC-RN: computerized adaptive testing,,439kh,KH610.73078 F519 1995,6/6/1997,"""First Aid for the NCLEX-RN: Computerized Adaptive Testing"" is a comprehensive guide designed to help nursing candidates prepare for the NCLEX-RN exam. The book offers a detailed overview of the exam format, strategies to tackle the adaptive testing methodology, and essential tips to enhance test-taking skills. It includes practice questions, rationales, and mnemonics to reinforce learning and improve exam readiness.","questions, answers, knowledge, educational, children",Academic,Educational,15,14
3188,500 questions & answers,"Mckie, Anne",1416kh,KH741.642 M211f 1993,,"""500 Questions & Answers"" by Anne McKie is an informative book designed to engage curious minds with a wide array of questions spanning various subjects. Each question is paired with a concise and informative answer, making it an ideal resource for young readers eager to expand their knowledge across diverse topics.","language teaching, classroom activities, quick exercises, student interaction, active learning",Non-Fiction,Educational,13,6
3189,Five minutes activities: a resource book of shorts activities,,1073kh,KH372.6 UR1f 199+4,6/6/1997,"""Five-Minute Activities: A Resource Book of Short Activities"" offers a collection of quick and engaging activities designed for language teachers to implement in their classrooms. These exercises are intended to fill short gaps in class time efficiently, promoting student interaction, language practice, and active learning. The book provides a variety of activities suitable for different levels and focuses, helping teachers enhance their lessons with minimal preparation.","pasta, quick, recipes, sauces, cooking",Culinary,Educational,18,15
3190,Five-minutes pasta sauces,"UR, Penny",4519kh,KH641.822 OL4f 1996,5/11/1998,"""Five-minute Pasta Sauces"" by Penny UR is a practical cookbook offering a collection of quick and easy pasta sauce recipes. Designed for busy individuals, the book provides a variety of flavorful sauces that can be prepared in just five minutes, using simple ingredients and straightforward techniques to enhance everyday meals.","arson, motivation, prevention, management, psychology",Culinary,Culinary,16,13
3191,Fire raising: its motivation & mgt.,,384kh,KH616.85845 P936f 1994,4/6/1997,"""Fire Raising: Its Motivation & Management"" delves into the psychological and sociological factors driving individuals to commit arson. The book explores various motivations, such as financial gain, revenge, or psychological thrill, and examines the impact of these acts on society. It also discusses strategies for prevention, detection, and management of fire-related incidents, offering insights for law enforcement, fire services, and mental health professionals.","salad, quick recipes, healthy eating, nutritious, time-saving",Culinary,Non-Fiction,6,17
3192,The five minute salad,"Prins, Herschel",4520kh,KH641.83 D873f 1992,5/11/1998,"""The Five Minute Salad"" by Herschel Prins is a practical guide offering a variety of quick and easy salad recipes designed for busy individuals. The book emphasizes the importance of healthy eating and demonstrates how to create nutritious and delicious salads in just five minutes, using readily available ingredients. With a focus on simplicity and speed, this cookbook is perfect for those looking to incorporate more greens into their diet without spending too much time in the kitchen.",,Culinary,Culinary,16,20
3193,Flowers,"De Brey, LYS",1417kh,KH582.1304166 D353f 1992,,,,Art & Media,,11,7
3194,Focus on diamonds,,1418kh,KH553.82 R421f,,,"language teaching, classroom research, educational practices, teacher roles, student interactions",Academic,,8,14
3195,Focus on the lang. classroom an intro to classroom-research,"Alwright, Dick",1074kh,KH418.007 AL57f 1991,6/6/1997,"""Focus on the Language Classroom: An Introduction to Classroom Research"" by Dick Allwright explores the dynamics and complexities of language teaching and learning within the classroom setting. It provides educators and researchers with insights and methodologies for conducting research in language classrooms to enhance educational practices and outcomes. The book emphasizes the importance of understanding classroom interactions and the roles of teachers and students in the learning process.","meat, cooking, techniques, culinary, preparation",Culinary,Educational,14,8
3196,Focus on meat,"Lambert, Mark",1419kh,KH641.36 L174f 1988,,"""Focus on Meat"" by Mark Lambert delves into the intricacies of meat preparation, offering insights into selecting, cooking, and serving various cuts for optimal flavor and texture. The book combines culinary techniques with practical advice, catering to both novice cooks and seasoned chefs looking to enhance their meat-cooking skills.","conspiracy, murder, cover-up, journalism, corporate corruption",Fiction,Culinary,7,11
3197,The Folk conspiracy: murder & cover-up in the case of CBS news corporation,,1509kh,KH364.1523094956 M367p 1990,,"""The Folk Conspiracy: Murder & Cover-Up in the Case of CBS News Corporation"" delves into the intricate web of deceit and intrigue surrounding a high-profile murder case linked to the CBS News Corporation. The book uncovers layers of conspiracy and cover-up as investigative journalists piece together the puzzle of corporate corruption, media manipulation, and murder. As the story unfolds, readers are taken on a thrilling journey through the dark side of the media industry, where power and greed overshadow truth and justice.","food security, water scarcity, climate change, sustainability, solutions",Non-Fiction,True Crime,5,8
3198,"Food & water: threats, shortages, solution (our fragile planet)","Tesar, Jenny",3832kh,KH363.7 T28o 1992,,"""Food & Water: Threats, Shortages, Solutions (Our Fragile Planet)"" by Jenny Tesar explores the critical challenges facing global food and water resources. The book examines the causes of shortages and the potential threats posed by environmental degradation, climate change, and population growth. It also discusses various solutions and strategies to address these issues, emphasizing sustainable practices, technological innovations, and policy changes to ensure the availability of these essential resources for future generations.",,Non-Fiction,Non-Fiction,16,13
3199,Forces,"Povail, john",4834kh,KH531.14 P869f 1994,5/11/1998,,"immigration, women, America, 19th century, cultural assimilation",History,,15,9
3200,Foreign & female: immigrant women in America 1840-1930,"Weatherford, Dori",980kh,KH305.488 W378F 1995,4/6/1997,"""Foreign & Female: Immigrant Women in America 1840-1930"" by Dori Weatherford explores the experiences and challenges faced by immigrant women in the United States during the 19th and early 20th centuries. The book delves into the diverse backgrounds of these women, highlighting their resilience and contributions to American society amidst the struggles of cultural assimilation, labor exploitation, and social discrimination. Through personal narratives and historical context, Weatherford sheds light on the critical roles these women played in shaping the nation's history.",,History,Non-Fiction,12,10
3201,Forgive me Minnie,"Littlewood, William",3208kh,KH808.899282 M666 1992,,,"language acquisition, teaching methodologies, cognitive processes, cultural immersion, technology",Academic,,7,13
3202,Foreign 2nd language learning,,1075kh,KH418.0071 L735f 1984,4/6/1997,"""Foreign 2nd Language Learning"" explores the methodologies, challenges, and cognitive processes involved in acquiring a second language. The book delves into various teaching approaches, the role of cultural immersion, and the impact of technology in language education, offering insights for both educators and learners in enhancing language acquisition effectiveness.","innovation, technology, culture, adventure, modernity",Non-Fiction,Educational,7,8
3203,Folks phonographs & hot air balloons,"Weber, Robert",1650kh,KH609 W388f 1992,,"""Folks Phonographs & Hot Air Balloons"" by Robert Weber is a whimsical exploration of the technological and cultural transformations at the turn of the 20th century. The book delves into how innovations like the phonograph and hot air balloon influenced society, capturing the spirit of curiosity and adventure that defined the era. Through engaging narratives and vivid storytelling, Weber brings to life the inventors and dreamers whose creations shaped modernity.","ambition, love, betrayal, independence, fashion",Fiction,History,13,16
3204,For love alone,"Trump, Iva na",1420kh,KH823 T772f 1992,,"""For Love Alone"" by Ivana Trump is a novel that delves into the life of Katrinka Graham, a determined and ambitious young woman from Czechoslovakia. Aspiring to achieve success and independence, Katrinka navigates the high-stakes world of fashion and business in New York City. As she builds her career, she encounters love and betrayal, ultimately striving to find fulfillment on her own terms in a world where personal and professional challenges intertwine.","politics, assassination, terrorism, Kennedy, power",Politics,Romance,8,17
3205,The fourth K: a novel,"Puzo, Mario",1421kh,KH813.54 p989f 1990,,"""The Fourth K"" by Mario Puzo is a political thriller that explores the dark underbelly of American politics. The story centers around President Francis Xavier Kennedy, a member of the iconic Kennedy family, who faces a series of escalating crises, including terrorism, assassination, and power struggles within his administration. As Kennedy grapples with these challenges, he must navigate a web of betrayal and corruption to protect his legacy and the nation.","paleoanthropology, evolution, fossils, human ancestry, discoveries",Fiction,Politics,14,20
3206,The fossil trail,,1651kh,KH573.2 T189f 1995,6/6/1997,"""The Fossil Trail"" by Ian Tattersall explores the history of paleoanthropology and the development of our understanding of human evolution. The book delves into the key fossil discoveries, the scientists behind them, and the debates that have shaped the field, offering insights into how interpretations of human ancestry have evolved over time.","France, photography, culture, landmarks, history",History,Non-Fiction,15,6
3207,France: a picture memory,,1623kh,KH944 F884 1993,4/6/1997,"'France: A Picture Memory' is a captivating visual journey through the diverse landscapes, rich history, and vibrant culture of France. The book combines stunning photography with informative text, offering readers an immersive experience of the country's iconic landmarks, charming villages, and culinary delights.","Mitterrand, leadership, France, politics, presidency",Politics,Travel,15,14
3208,Francois Mitterrand: a study in political leadership,"Cole, Alistar",367kh,KH944.0838092 C674f 1994,4/6/1997,"""Francois Mitterrand: A Study in Political Leadership"" by Alistair Cole examines the political career and leadership style of François Mitterrand, the longest-serving President of France. The book delves into Mitterrand's complex personality, his strategic political maneuvers, and his ability to adapt to changing political landscapes. Cole provides an in-depth analysis of Mitterrand's impact on French politics and his legacy as a transformative leader.","press freedom, Supreme Court, First Amendment, media, democracy",Politics,Political Biography,12,19
3209,Freedom of the press,"Schwartz, Bernard",1741kh,KH342.730853 Sch95f 1994,,"""Freedom of the Press"" by Bernard Schwartz examines the historical and legal foundations of press freedom in the United States. The book explores landmark Supreme Court cases and constitutional principles that have shaped the media landscape, highlighting the balance between government regulation and First Amendment rights. Schwartz delves into the challenges and implications of maintaining a free press in a democratic society.","virtue ethics, moral psychology, empathy, deontological critique, character",Non-Fiction,Non-Fiction,14,9
3773,Oxford studies in ancient philosophy,,427kh,KH180.5 Ox2 1994,6/6/1997,"""Oxford Studies in Ancient Philosophy"" is a scholarly collection that features original articles and essays exploring various aspects of ancient philosophical thought. The book delves into interpretations, textual analysis, and critical examinations of philosophical works from classical antiquity, offering insights into the ideas and arguments of ancient philosophers. It serves as a valuable resource for understanding the development of philosophical discourse and its historical context.","Oswald, adventure, friendship, forest, bravery",Academic,Academic,6,10
3211,Fruit growing ,,1350kh,KH634.0994 B462 1991,4/6/1997,,,Culinary,,18,15
3212,Fruit growing,,300kh,KH634.0994 B462 1991,,,"cakes, decorating, celebrations, designs, instructions",Culinary,,5,9
3213,Fun cakes for special occasions,"Nicol, Ann",1272kh,KH641.8653 N541f 1992,4/6/1997,"""Fun Cakes for Special Occasions"" by Ann Nicol is a delightful guide that offers readers a collection of creative and whimsical cake designs suitable for various celebrations. The book provides step-by-step instructions, along with tips and techniques for decorating cakes that are sure to impress. Whether for birthdays, weddings, or holidays, these fun cakes are crafted to bring joy and a touch of artistry to any special event.","vocabulary, illustrations, children, education, language",Children,Culinary,15,12
3214,The fun-to-learn picture dictionary,"Mckie, Anne",1422kh,KH031 M211fd 1993,,"""The Fun-to-Learn Picture Dictionary"" by Anne McKie is an engaging educational resource designed for children. It introduces young readers to a wide array of words, each accompanied by vibrant illustrations to aid in comprehension and retention. This picture dictionary aims to expand vocabulary and enhance language skills in an enjoyable and accessible manner, making it an ideal tool for early learning.","encyclopedia, education, children, learning, illustrations",Children,Children'S Educational,20,19
3215,The fun-to-learn encyclopedia,"Mckie, Anne",1423kh,KH031 M211fd 1993,,"'The Fun-to-Learn Encyclopedia' by Anne McKie is an engaging and educational book designed for young readers. It provides a comprehensive overview of a wide range of topics, presented in an accessible and entertaining manner. With colorful illustrations and fun facts, the encyclopedia encourages curiosity and learning, making complex subjects approachable for children.",,Children,Children'S Literature,7,18
3216,Fun with child craft,,2942kh,KH741.642 F962 1993,26/04/2006,,"gardening, plants, horticulture, guide, care",Craft,,12,7
3217,Garden guide: sterling Macoboy’s,"Macoboy, Stirling",333kh,KH635 M236s 1994,4/6/1997,"""Garden Guide: Sterling Macoboy’s"" by Stirling Macoboy is an informative resource for gardening enthusiasts, offering detailed insights into a wide variety of plants. The book provides practical advice on plant selection, care, and maintenance, helping gardeners create thriving and beautiful gardens. It features rich illustrations and comprehensive descriptions, making it an essential guide for both novice and experienced gardeners.","gardening, pest control, plant diseases, soil management, solutions",Non-Fiction,Non-Fiction,20,13
3218,Garden problem solver,"Greig, Denise",1264kh,KH635.92 G863gp 1993,4/6/1997,"""Garden Problem Solver"" by Denise Greig is a comprehensive guide designed to help gardeners identify and address common issues in their gardens. The book offers practical solutions and expert advice on a wide range of topics, including pest control, plant diseases, and soil management, making it an invaluable resource for both novice and experienced gardeners seeking to maintain a healthy and thriving garden.","gardening, plants, soil, pest control, seasonal care",Non-Fiction,Gardening,19,7
3219,Gardening made easy,"Greig, Denise",1263kh,KH635.0994 G863gm,4/6/1997,"""Gardening Made Easy"" by Denise Greig is a comprehensive guide designed to simplify the process of gardening for both beginners and experienced gardeners. The book offers practical advice, step-by-step instructions, and tips for creating and maintaining a beautiful and thriving garden. It covers a wide range of topics, including plant selection, soil preparation, pest control, and seasonal care, ensuring that readers can achieve successful gardening results with ease.","gender, language, categorization, linguistics, diversity",Non-Fiction,Non-Fiction,6,7
338,One woman's liberating: the life & career of Estefania Aldaba-Lim,"Joaquin, Nick",575055 pl,KH350.00092 L628c 1996,,"""Noli Me tangere ni Jose Rizal: isang interpretasyon"" by Ruth Mabanglo offers an in-depth analysis and reinterpretation of Jose Rizal's seminal novel ""Noli Me Tangere."" Mabanglo explores the novel's themes, characters, and historical context, providing insights into its significance in Philippine literature and history. The book serves as a guide for understanding the complex social and political issues addressed by Rizal, while also highlighting its enduring relevance.","Jose Rizal, Noli Me Tangere, Philippine literature, interpretation, history",Non-Fiction,Literary Criticism,17,9
3221,Gender & national identity: women  & politics In Muslim societies,,337&371kh,KH305.42 G285 1994,4/6/1997,"""Gender & National Identity: Women & Politics In Muslim Societies"" explores the intricate dynamics between gender, politics, and national identity within Muslim-majority societies. The book delves into the roles women play in political spheres, how national identity shapes and is shaped by gender norms, and the socio-political challenges women face. It provides a nuanced analysis of the intersection of religion, culture, and politics, highlighting the diverse experiences of women across different Muslim societies.","international law, legal principles, tribunals, judicial reasoning, case analysis",Academic,Non-Fiction,10,15
1481,Reading in Philippine socio linguistics,,4980kh,KH306.44 R227 1996,5-Nov-98,"""Reading in Philippine Sociolinguistics"" explores the intricate relationship between language and society in the Philippines. It delves into the diverse linguistic landscape of the country, examining how languages and dialects coexist and influence social identities, power dynamics, and cultural practices. The book provides insights into the historical and contemporary issues surrounding language use, policy, and education in the Philippines.","sociolinguistics, Philippines, language, identity, culture",Academic,Academic,17,9
3223,The genesis enterprise: heating peak-to-peak performance,"Tompskins, Jim",1701kh,KH658.4 T599g 1995,4/6/1997,"""The Genesis Enterprise: Heating Peak-to-Peak Performance"" by Jim Tompkins explores strategies for businesses to achieve maximum efficiency and productivity. The book delves into innovative management practices, technology integration, and organizational culture shifts necessary to optimize operations and sustain competitive advantage in a rapidly evolving market. Through real-world examples and actionable insights, Tompkins provides a roadmap for leaders aiming to elevate their enterprises to new heights of performance.","genre, academic English, research, communication, discourse",Academic,Business,5,20
721,Corporation code of the Philippine with comments; revised edition,"Hilbero, Celso B.",2483kh & 2457kh,KH346.599066 H542c 1991,6-Jun-97,"""Contemporary Political Attitudes & Behavior of Chinese in Metro Manila"" by A.S.P. Baviera explores the political perspectives and actions of Chinese residents in Metro Manila. The book delves into how historical, cultural, and socio-economic factors shape the political identity and participation of this community within the broader context of Philippine society. It examines the unique challenges and contributions of Chinese Filipinos in the political landscape.","Chinese, Metro Manila, political attitudes, cultural factors, community",Law,Political Science,16,9
3225,The geographical analysis of population w/ approach to                                                planning and business,"Plane, David",457kh,KH304.6 P639g 1993,,"""The Geographical Analysis of Population with Approach to Planning and Business"" by David Plane explores the spatial aspects of population dynamics and their implications for planning and business strategies. The book delves into methodologies for analyzing population distribution, migration patterns, and demographic changes, emphasizing their significance in decision-making processes for urban planning and business development.","atlas, maps, geography, world, regions",Non-Fiction,Non-Fiction,12,6
3226,Geographic atlas of the world,,3864kh,KHKH912 G292,,"The ""Geographic Atlas of the World"" offers a comprehensive exploration of the Earth's diverse landscapes, political boundaries, and natural features. It combines detailed maps with informative text to provide insights into the geographical, cultural, and environmental aspects of each region. This atlas serves as an essential resource for understanding the complexities of the world and its various ecosystems.","geriatric, physical therapy, elderly, assessment, treatment",Non-Fiction,Reference,6,20
3227,Geriatric physical therapy,"Lewis, Carole",440kh,KH615.820846 L585g 1994,6/6/1997,"""Geriatric Physical Therapy"" by Carole Lewis offers a comprehensive guide to the principles and practices involved in physical therapy for the elderly. The book addresses the unique challenges faced by geriatric patients and provides evidence-based strategies for assessment, treatment, and management of age-related conditions. It emphasizes the importance of personalized care plans and interdisciplinary collaboration to enhance the quality of life for older adults.","Germany, photography, culture, landscapes, heritage",Other,Medical,10,19
3228,Germany: a picture memory,,1624kh,KH943 G3217 1993,4/6/1997,"""Germany: A Picture Memory"" is a visually captivating book that delves into the rich cultural heritage and stunning landscapes of Germany. Through a collection of breathtaking photographs, it captures the essence of Germany's historical landmarks, picturesque towns, and natural beauty, offering readers a vivid and memorable portrayal of the country's diverse attractions.","neck pain, exercises, posture, tension relief, well-being",Non-Fiction,Travel,17,13
3229,Get rid of that pain in the neck,"Henderson, KLeila",326kh,KH615.5306 H383g 1994,4/6/1997,"""Get rid of that pain in the neck"" by KLeila Henderson offers practical advice and exercises to alleviate neck pain. The book provides insight into the causes of neck discomfort and presents straightforward, effective strategies to reduce tension and improve posture, aiming to enhance overall well-being and physical health.","collage, art, creativity, technique, expression",Art & Media,Self-Help,10,5
3595,Make sculptures,"Solga, Kim",4766kh,KH745.592 So43m 1992,5/11/1998,"""Make Sculptures"" by Kim Solga is a practical guide that introduces readers to the art of sculpture-making. It offers step-by-step instructions and creative projects for various materials, helping both beginners and experienced artists to explore their creativity and develop their skills in crafting three-dimensional art pieces.","John F. Kennedy, presidency, leadership, American history, legacy",History,Art,9,17
3231,Get set… Go! : printing,"Thompson, Ruth",4505kh,KH372.52 T38g 1993,26/04/2006,"""Get set… Go! : Printing"" by Ruth Thompson is an educational children's book that introduces young readers to the basics of printing and the different techniques and tools involved. Through engaging illustrations and simple explanations, the book aims to spark curiosity and creativity in children as they learn how printed materials are made.",,Craft,Children'S Educational,15,8
3232,Getting ahead,,1081kh,KH482.2 J71g 1993,,,"reading, comprehension, literacy, education, schools",Education,,13,18
3233,Getting the message: a reading course for schools,"Murphy, Dermot",1079kh,KH372.4044 M952g 1995,,"""Getting the Message: A Reading Course for Schools"" by Dermot Murphy is an educational resource designed to enhance reading comprehension and literacy skills in school-aged students. The book provides a structured approach to reading, focusing on developing critical thinking and understanding through a variety of texts and exercises. It aims to engage students with diverse reading materials while equipping teachers with effective strategies for classroom instruction.",,Academic,Educational,8,18
3234,Getting the message book1&2,"Murphy, Dermot",1080&1082kh,KH372.4044 M952g 1995,,,,Fiction,,11,9
3235,Getting the message book3,"Murphy, Dermot",1078kh,KH372.4044 M952g 1995,,,"tall, school, acceptance, friendship, uniqueness",Children,,12,19
3236,Giant at school,"Beck, Jennifer",237kh,KH808.899282 B388g 1991,4/6/1997,"""Giant at School"" by Jennifer Beck is a children's story about a young boy named Tom who feels out of place due to his unusually tall stature. As he navigates the challenges of school life, Tom learns to embrace his uniqueness and discovers the importance of self-acceptance and friendship. Along the way, he forms meaningful connections with his classmates, who help him see that being different can be a strength rather than a weakness.","anatomy, biology, human body, systems, organs",Children,Children'S Literature,13,15
3237,The giant book of the human body,,1425kh,KH611 G348 1989,,"""The Giant Book of the Human Body"" is an informative guide that explores the anatomy and functions of the human body. It presents detailed illustrations and explanations of various body systems, organs, and processes, making complex biological concepts accessible to readers of all ages. The book serves as an educational resource, offering insights into how the body works and highlighting the marvels of human biology.","global business, cultural awareness, leadership, innovation, adaptability",Non-Fiction,Educational,6,8
3238,The global challenge: building the new worldwide enterprise,"Moran, Robert",1702kh,KH658.049 M793g 1994,4/6/1997,"""The Global Challenge: Building the New Worldwide Enterprise"" by Robert Moran explores the complexities and strategies involved in creating and managing successful global businesses. The book delves into the cultural, economic, and technological factors that influence international business operations and provides insights into effective leadership and management practices in a global context. It emphasizes the importance of adaptability, cultural awareness, and innovation in navigating the challenges of the global marketplace.","Asian firms, competitiveness, global market, innovation, management",Business & Career,Business,12,13
3239,The global competitiveness of the Asian firm,,019kh,KH338.6048095 G51 1994,4/6/1997,"""The Global Competitiveness of the Asian Firm"" examines the factors contributing to the success and challenges faced by Asian businesses in the global market. It explores the strategies these firms employ to maintain their competitive edge, including innovation, management practices, and adaptation to global economic changes. The book also discusses the impact of cultural, economic, and political environments on the firms' global competitiveness.","Australia, global economy, trade restrictions, environmental policy, geopolitics",Business & Career,Business,12,5
3240,Global restricting: the Australian exp.,,1652kh,KH330.994 F131g 1994,6/6/1997,"""Global Restricting: The Australian Experience"" explores the impact of global economic and political shifts on Australia. It examines how the country navigates challenges such as trade restrictions, environmental policies, and geopolitical tensions. The book provides insights into Australia's strategies for maintaining its economic stability and adapting to global changes.","global warming, climate change, environment, solutions, sustainability",Non-Fiction,Non-Fiction,6,8
3241,Global warming (our Fragile planet),"Tesar, Jenny",3827kh,KH363.7 T28o 1992,,"""Global Warming (Our Fragile Planet)"" by Jenny Tesar explores the causes and effects of global warming, emphasizing the environmental and societal impacts of climate change. The book delves into scientific research, potential solutions, and the urgent need for global action to mitigate the crisis and protect the planet for future generations.","container gardening, plant selection, potting techniques, limited space, maintenance",Non-Fiction,Non-Fiction,16,8
3242,Glorious gardening in pots,,1267kh,KH635 G514 1990,4/6/1997,"""Glorious Gardening in Pots"" is a comprehensive guide that explores the art of container gardening. It provides readers with practical tips and creative ideas for cultivating a variety of plants in pots, making it accessible for those with limited space. The book covers everything from plant selection and potting techniques to watering and maintenance, ensuring lush and thriving potted gardens.","rockabilly, music, culture, musicians, influence",Other,Gardening,7,13
3243,"Go cat, Go!","Leslie, Susan",307kh,KH808.899282 L565g 1994,,"""Go Cat, Go!"" by Susan Leslie is an engaging exploration of the rockabilly music scene, focusing on its cultural impact and evolution over the decades. The book delves into the personal stories of key musicians, the genre's roots, and its enduring influence on modern music. Through vivid storytelling and in-depth research, Leslie captures the dynamic and rebellious spirit that defines rockabilly.","biography, Robert Schuler, megachurch, broadcasting, legacy",Non-Fiction,Non-Fiction,8,17
3244,Goliath: the life of Robert Schuler,"Penner, James",1424kh,KH813 P282g 1992,,"""Goliath: The Life of Robert Schuler"" by James Penner is a detailed biography that delves into the life and career of Robert Schuler, an influential figure known for his impact on religious broadcasting and the megachurch movement. The book explores Schuler's humble beginnings, his rise to prominence, and the challenges he faced in maintaining his ministry. It provides insights into his innovative approaches to preaching and his lasting legacy in religious circles.","bird, indecisiveness, adventure, procrastination, decision-making",Non-Fiction,Biography,5,12
3245,The gonna bird,"Cowley, Joy",308kh,KH808.899282 C839g 1991,,"""The Gonna Bird"" by Joy Cowley is a delightful children's book that follows the whimsical adventures of a mythical bird known for its indecisiveness and reluctance to commit to any action. Through playful illustrations and engaging text, the story explores themes of procrastination and decision-making, ultimately encouraging young readers to take action and embrace opportunities without hesitation.","counting, bedtime, baby Donald, numbers, children's book",Children,Children'S Literature,6,14
3246,"Goodnight, baby Donald: a bk. Abt. Counting",,5055kh,KH808.899282 G591 1987,,"""Goodnight, Baby Donald: A Book About Counting"" is a children's book that uses the character of baby Donald to introduce young readers to numbers and counting. Through engaging illustrations and simple text, the book follows baby Donald as he goes through a bedtime routine, counting various objects along the way to help children develop early numeracy skills.","March sisters, marriage, personal growth, family, 19th-century",Children,Children'S Literature,20,16
3247,Good wives,"Alcott, Louis",1426kh,KH823 Al19g 199-,,"""Good Wives"" by Louisa May Alcott continues the story of the March sisters as they transition from adolescence into adulthood. The novel explores themes of love, marriage, and personal growth, following the sisters as they navigate challenges and embrace new roles in their family and society. Each sister faces her own set of trials and triumphs, ultimately learning valuable life lessons and the true meaning of being a ""good wife"" in the 19th-century context.",,Fiction,History,7,12
3248,Good low’s ghosts,"Wright, TM",1427kh,KH808.83872 W936g 1993,,,"Elvis Presley, Graceland, pilgrimage, identity, family",Non-Fiction,,7,15
3249,Graced land,"Kalpakian, Laura",1428kh,KH823 K127g 1992,,"""Graced Land"" by Laura Kalpakian is a novel that intertwines the lives of two women bound by their connection to Elvis Presley. Set in 1980s California, the story follows the journey of a woman named Rejoice, who is determined to fulfill her late mother's dream of visiting Graceland. Alongside her is a young runaway, who finds solace in Rejoice's quest. Through their shared pilgrimage, they explore themes of family, identity, and the enduring impact of cultural icons.","grammar, games, language learning, interactive, teaching",Children,Fiction,18,19
3250,"Grammar, games","Rinvolucri, Mario",1083kh,KH428.24078 R476g 1984,,"""Grammar, Games"" by Mario Rinvolucri offers a collection of engaging and interactive activities designed to teach English grammar through play. The book emphasizes the use of games as an effective tool for language learning, encouraging both teachers and students to explore grammar in a fun and dynamic way. Each activity is crafted to enhance understanding and retention of grammatical structures, making language learning a more enjoyable experience.","grammaticalization, language change, linguistics, lexical forms, language evolution",Academic,Educational,10,12
3222,General prin. of law as applied by int’l courts tribunals,"Cheng, Bin",129kh,KH341.55 C421g 1993,4/6/1997,"""General Principles of Law as Applied by International Courts and Tribunals"" by Bin Cheng is a comprehensive analysis of the fundamental principles of law utilized by international courts and tribunals. The book explores the application and interpretation of these principles in various international legal cases, providing insights into the workings and reasoning of international judicial bodies. It serves as a crucial resource for understanding how general legal principles are adapted to the international context.","efficiency, productivity, innovation, management, technology",Law,Legal Studies,12,9
398,The power & the glory: Gloria Macapagal Arroyo & her presidency,"Crisostomo, Isabelo",765187/765255pl,PL959.906 Ar69c 2002,25-Oct-04 & 21-Nov-03,"""Pook at Paninindigan: Kritika ng Pantayong Pananaw"" by Ramon Guillermo is a critical examination of the ""Pantayong Pananaw,"" a framework in Filipino historiography and social sciences that emphasizes a Filipino-centric perspective. Guillermo critiques this approach by exploring its theoretical foundations, implications, and challenges in understanding Philippine society and history. The book engages with various scholarly debates and offers insights into the discourse of national identity and cultural studies within the Filipino context.","Pantayong Pananaw, Filipino historiography, national identity, cultural studies, critique",History,Academic,11,9
3253,The great ABC treasure hunt: a hidden-letter alphabet book,,2165kh,KH808.899282 T482e 1992,6/6/1997,"""The Great ABC Treasure Hunt: A Hidden-Letter Alphabet Book"" invites young readers on an engaging journey to discover hidden letters throughout vibrant illustrations. Each page presents a playful challenge, encouraging children to find the concealed letters of the alphabet within delightful scenes. This interactive adventure not only teaches the ABCs but also enhances observation skills and provides hours of fun.","Western canon, philosophy, literature, influential works, intellectual tradition",Children,Children'S Literature,12,5
2611,The Cambridge Compassion To Hume,,346kh,KH192 C144 1993,4/6/1997,"""The Cambridge Companion to Hume"" is a comprehensive collection of essays that explores various aspects of the philosophy of David Hume, one of the most influential figures in the Scottish Enlightenment. The book delves into Hume's contributions to epistemology, metaphysics, ethics, and aesthetics, offering insights into his skeptical approach and empirical methods. It also examines his historical context and the impact of his work on subsequent philosophical thought.","Hume, philosophy, skepticism, empiricism, Enlightenment",Academic,Philosophy,10,9
3255,Great books of the Western world vols. 3-60,,1944-2001kh,KH081 G798 1990,,"'Great Books of the Western World Vols. 3-60' is a comprehensive anthology that spans a wide array of influential works in Western literature, philosophy, science, and politics. Edited by Robert Maynard Hutchins and published by Encyclopaedia Britannica, Inc., this collection includes seminal texts from ancient to modern times, featuring authors such as Homer, Plato, Shakespeare, and Newton. The series aims to provide readers with a foundational understanding of Western thought and culture through its curated selection of classic works.","Western canon, influential works, dialogue, human thought, culture",Non-Fiction,Non-Fiction,7,15
